City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,la passe,45.5549,-0.8967,66.97,94,12,6.4,FR,1690417966
200,broken hill,-31.95,141.4333,63.86,35,2,20.94,AU,1690417966
201,thinadhoo,0.5333,72.9333,83.73,77,100,13.69,MV,1690417826
202,tanque verde,32.2517,-110.7373,110.03,19,17,13.8,US,1690417822
203,chenaran,36.6455,59.1212,72.61,59,1,7.23,IR,1690417967
204,atafu village,-8.5421,-172.5159,83.44,75,100,18.05,TK,1690417967
205,wirksworth,53.0823,-1.5739,59.72,96,100,9.98,GB,1690417967
206,kirakira,-10.4544,161.9205,81.99,81,100,14.32,SB,1690417967
207,mount gambier,-37.8333,140.7667,55.44,59,1,12.57,AU,1690417967
208,pitimbu,-7.4706,-34.8086,75.79,86,51,10.76,BR,1690417967
209,badger,64.8,-147.5333,82.98,54,75,4.61,US,1690417968
210,sola,-13.8833,167.55,79.47,78,100,17.27,VU,1690417968
211,tahe,52.3333,124.7333,80.58,48,98,6.89,CN,1690417968
212,san andres,12.5847,-81.7006,84.22,79,20,11.5,CO,1690417968
213,misratah,32.3754,15.0925,81.72,69,0,15.35,LY,1690417968
214,dakoro,14.5106,6.765,88.93,49,100,19.01,NE,1690417968
215,buenaventura,3.8801,-77.0312,77.05,91,100,3.29,CO,1690417969
216,port mathurin,-19.6833,63.4167,74.75,78,88,16.84,MU,1690417969
217,bermeo,43.4209,-2.7215,67.24,89,0,4.23,ES,1690417969
218,arno,60.1167,18.6333,56.68,76,87,8.77,SE,1690417969
219,beberibe,-4.1797,-38.1306,78.69,83,5,13.89,BR,1690417969
220,minas,-34.3759,-55.2377,45.39,92,5,9.78,UY,1690417970
221,ola,59.5833,151.2833,61.14,98,100,9.93,RU,1690417970
222,barra,-11.0894,-43.1417,73.54,53,71,5.73,BR,1690417970
223,malanje,-9.5402,16.341,64.99,70,2,4.23,AO,1690417970
224,harnai,30.1005,67.9374,80.64,73,9,1.03,PK,1690417970
225,jiayuguan,39.8167,98.3,83.12,17,0,1.36,CN,1690417975
226,rongelap,11.1635,166.8941,82.72,81,100,18.19,MH,1690417976
227,hermanus,-34.4187,19.2345,53.47,83,0,6.55,ZA,1690417976
228,fonte boa,-2.4959,-66.2662,78.51,77,69,2.04,BR,1690417976
229,childress,34.4264,-100.204,98.92,20,0,13.8,US,1690417734
230,kabinda,-6.1333,24.4833,64.96,36,17,3.71,CD,1690417976
231,inari,68.906,27.0288,52.0,93,74,1.97,FI,1690417710
232,guichon,-32.35,-57.2,47.12,85,3,5.91,UY,1690417978
233,saint-philippe,-21.3585,55.7679,67.59,82,53,11.23,RE,1690417978
234,longyearbyen,78.2186,15.6401,51.64,76,75,5.75,SJ,1690417978
235,la sarre,48.8002,-79.1996,61.92,97,100,8.23,CA,1690417978
236,verkhnevilyuysk,63.4453,120.3167,67.57,40,100,5.64,RU,1690417979
237,port isabel,26.0734,-97.2086,93.29,65,0,18.41,US,1690417979
238,pirot,43.1531,22.5861,60.28,95,100,5.84,RS,1690417979
239,kotlas,61.2611,46.6556,59.45,98,100,6.02,RU,1690417979
240,dudinka,69.4058,86.1778,72.63,63,67,2.62,RU,1690417979
241,kollam,8.8833,76.6,75.85,87,35,4.74,IN,1690417979
242,simpang,-1.2667,104.0833,78.4,84,92,5.91,ID,1690417980
243,west island,-12.1568,96.8225,75.18,83,75,24.16,CC,1690417980
244,port saint john's,-31.6229,29.5448,65.5,58,50,20.78,ZA,1690417980
245,saudarkrokur,65.7461,-19.6394,46.06,91,32,6.51,IS,1690417981
246,as sulayyil,20.4607,45.5779,86.25,9,100,8.79,SA,1690417981
247,flying fish cove,-10.4217,105.6791,76.8,77,62,19.91,CX,1690417981
248,yuzhno-kurilsk,44.0306,145.8556,70.9,80,100,5.91,RU,1690417981
249,tidjikja,18.5564,-11.4271,88.52,38,5,17.45,MR,1690417982
250,san jose del cabo,23.0589,-109.6977,93.6,61,20,23.02,MX,1690417982
251,livingstone,-17.8419,25.8543,55.08,64,0,3.24,ZM,1690417983
252,nabire,-3.3667,135.4833,84.33,70,55,3.44,ID,1690417983
253,brookings,44.3114,-96.7984,95.0,40,0,5.75,US,1690417983
254,qaqortoq,60.7167,-46.0333,43.95,85,91,3.09,GL,1690417983
255,colon,9.3592,-79.9014,79.56,88,100,5.1,PA,1690417983
256,bel ombre,-4.6167,55.4167,76.84,88,40,9.22,SC,1690417984
257,illapel,-31.6308,-71.1653,57.67,74,100,2.46,CL,1690417984
